book_id,isbn,isbn13,language_code,ratings_count,text_reviews_count
8528,425210766,9780425210765,eng,2400,93
8529,425206955,9780425206959,eng,4675,129
8532,042519938X,9780425199381,eng,3461,133
8533,425196739,9780425196731,en-US,2215,60
8536,425208850,9780425208854,eng,2910,84
8537,515123463,9780515123463,eng,3581,113
8538,425199932,9780425199930,eng,3758,128
8540,425199169,9780425199169,eng,4600,113
8541,042520846X,9780425208465,eng,3513,143
8542,042519745X,9780425197455,eng,3490,177
8544,425199835,9780425199831,eng,2004,54
8545,425196747,9780425196748,eng,2935,154
8546,042519499X,9780425194997,eng,2053,85
8548,449221393,9780449221396,eng,2635,107
8551,515125601,9780515125603,eng,2587,89
8552,425202887,9780425202883,eng,5043,121
8557,425207188,9780425207185,eng,3786,134
8559,425197050,9780425197059,en-US,96,4
8568,425198006,9780425198001,eng,3749,130
8572,718132386,9780718132385,eng,3092,132
8574,425203549,9780425203545,eng,5108,143
8581,449213307,9780449213308,eng,82,2
8582,449220494,9780449220498,eng,64,3
8583,399143068,9780399143069,eng,32,0
8586,515125512,9780515125511,eng,56,4
8598,399244913,9780399244919,eng,1371,205
8601,1861979339,9781861979339,eng,204,30
8614,778801462,9780778801467,eng,155,16
8627,393325172,9780393325171,en-US,541,95
8628,393325539,9780393325539,eng,96,13
8630,786177837,9780786177837,eng,3659,80
8632,60584084,9780060584085,eng,799,31
8643,415936845,9780415936842,eng,26,0
8645,1582432902,9781582432908,eng,1818,89
8646,385337639,9780385337632,eng,14109,1591
8648,312861877,9780312861872,eng,119937,3139
8656,786712341,9780786712342,eng,148,6
8660,142002720,9780142002728,eng,18,4
8661,8497643658,9788497643658,eng,116,11
8675,553383531,9780553383539,eng,5768,262
8676,684845776,9780684845777,eng,25135,420
8677,721601944,9780721601946,en-US,55,6
8680,055337933X,9780553379334,en-US,24792,1139
8682,1842430351,9781842430354,eng,54516,2721
8694,345418905,9780345418906,eng,166574,2192
8698,330491237,9780330491235,eng,93997,1394
8703,739332074,9780739332078,eng,493,95
8704,2290053651,9782290053652,fre,8790,152
8706,330491199,9780330491198,eng,3115,306
8710,517599244,9780517599242,eng,294,19
8712,2864603497,9782864603498,fre,2122,86
8713,385517211,9780385517218,eng,621,90
8714,1594865671,9781594865671,eng,5783,433
8715,140260897,9780140260892,en-US,1485,94
8716,375708766,9780375708763,eng,7326,430
8722,375708731,9780375708732,eng,7265,526
8725,375758739,9780375758737,eng,17939,947
8726,965193772,9780965193771,eng,15,3
8737,068485256X,9780684852560,eng,8966,454
8738,373692285,9780373692286,eng,112,5
8741,312936915,9780312936914,eng,4991,271
8742,571178561,9780571178568,eng,114,14
8744,1844080080,9781844080083,en-GB,2011,84
8745,688172377,9780688172374,eng,11981,735
8746,1844082520,9781844082520,en-US,509,25
8750,2226135510,9782226135513,fre,1,0
8758,582435676,9780582435674,eng,68,9
8761,91881803,9780091881801,eng,123,12
8765,307264556,9780307264558,eng,38506,4719
8766,345487427,9780345487421,eng,506,53
8767,789488779,9780789488770,eng,24,3
8768,60245603,9780060245603,en-US,4171,518
8770,789479311,9780789479310,eng,24,6
8771,807588970,9780807588970,eng,113,4
8773,786818727,9780786818723,eng,39,7
8787,61131520,9780061131523,eng,4504,491
8797,439401879,9780439401876,eng,5097,219
8799,8439710097,9788439710097,spa,3,1
8801,486428400,9780486428406,eng,1253,54
8804,486437450,9780486437453,eng,478,30
8808,486280233,9780486280233,eng,275,19
8809,393315088,9780393315080,en-US,5423,293
8810,141182601,9780141182605,eng,5366,524
8811,014027409X,9780140274097,eng,1422,124
8813,345316413X,9783453164130,ger,65,7
8814,413735907,9780413735904,eng,28,2
8818,786706317,9780786706310,eng,1008,51
8820,393316025,9780393316025,eng,966,39
8822,99468646,9780099468646,eng,2116,157
8829,552771236,9780552771238,eng,4422,211
8834,055277183X,9780552771832,eng,2292,69
8840,805079130,9780805079135,eng,208,27
8848,2070513289,9782070513284,fre,366,19
8852,743477103,9780743477109,eng,592315,7791
8853,812035712,9780812035711,eng,296,20
8856,446606987,9780446606981,eng,3280,188
8858,446614890,9780446614894,en-US,3318,204
8859,446614726,9780446614726,eng,5757,321
8860,764586025,9780764586026,en-US,25,2
8861,446608289,9780446608282,eng,3015,167
8862,60088745,9780060088743,eng,2330,252
8865,448439042,9780448439044,eng,755,94
8875,517209489,9780517209486,en-US,88,14
8879,60086211,9780060086213,eng,24,1
8880,1569716684,9781569716687,eng,8,2
8881,60086203,9780060086206,eng,53,2
8889,345251679,9780345251671,eng,10,2
8891,345251229,9780345251220,eng,12,1
8895,184023380X,9781840233803,eng,1,1
8901,891901639,9780891901631,eng,461,10
8908,307346609,9780307346605,eng,370331,20582
8909,375759239,9780375759239,eng,196425,4549
8910,805076239,9780805076233,eng,919,44
8915,688085873,9780688085872,eng,472,41
8916,517052253,9780517052259,eng,45,1
8917,486215318,9780486215310,eng,60,4
8919,439574277,9780439574273,eng,333,23
8921,451528018,9780451528018,eng,191128,4802
8922,9626343346,9789626343340,eng,135,20
8924,763630640,9780763630645,eng,66,7
8927,1596792507,9781596792500,en-US,33,1
8930,1401301959,9781401301958,eng,7653,90
8931,1401301940,9781401301941,eng,4296,51
8951,316016659,9780316016650,eng,18536,350
8953,439286069,9780439286060,eng,41589,4153
8954,142002267,9780142002261,eng,4748,597
8960,316905747,9780316905749,eng,26461,587
8964,1577780728,9781577780724,eng,19217,271
8967,316000957,9780316000956,eng,24590,525
8969,446695602,9780446695602,en-US,492,32
8971,1560258012,9781560258018,eng,139,25
8974,226063127,9780226063126,eng,210,18
8976,1577782089,9781577782087,eng,591,29
8978,823016625,9780823016624,eng,31,1
8988,976249871,9780976249870,eng,55,7
8991,1588993000,9781588993007,eng,112,9
9005,1583227202,9781583227206,eng,1458,175
9006,767916034,9780767916035,eng,8410,751
9010,806527285,9780806527284,eng,49042,4140
9012,316779237,9780316779234,eng,3590,251
9013,1592289444,9781592289448,eng,11841,1766
9014,451196716,9780451196712,eng,94303,4453
9018,1586216880,9781586216887,eng,79,16
9019,1879373564,9781879373563,eng,56,11
9030,553813536,9780553813531,eng,1278,207
9031,385602731,9780385602730,eng,283,37
9051,394705122,9780394705125,eng,977,71
9058,1886363064,9781886363069,eng,4,2
9060,226348180,9780226348186,eng,37,5
9066,312182627,9780312182625,eng,24,2
9072,1415929017,9781415929018,eng,354,135
9073,140004684X,9781400046843,eng,4040,259
9082,380794772,9780380794775,eng,6193,355
9083,975323113,9780975323113,en-US,47,8
9099,079227363X,9780792273639,eng,819,31
9100,1584281405,9781584281405,eng,16,1
9106,749934425,9780749934422,en-US,142,9
9107,1584281340,9781584281344,eng,51,0
9118,2266082655,9782266082655,fre,47,3
9121,1842161903,9781842161906,eng,85,2
9122,393955680,9780393955682,eng,171,13
9124,393927547,9780393927542,en-US,663,52
9125,192807293,9780192807298,eng,1089,78
9132,231121253,9780231121255,eng,68,6
9140,486218430,9780486218434,eng,393,27
9141,074326407X,9780743264075,eng,524,40
9143,486296385,9780486296388,en-US,13,0
9144,688152023,9780688152024,eng,238,10
9148,789460971,9780789460974,eng,64,5
9149,448435365,9780448435367,eng,155,14
9151,448437694,9780448437699,eng,130,4
9153,1841482641,9781841482644,eng,1,0
9155,448442515,9780448442518,eng,93,8
9156,385033982,9780385033985,en-US,203,12
9164,764525689,9780764525681,eng,78,6
9171,803729782,9780803729780,eng,69,13
9184,415942578,9780415942577,eng,17,0
9186,044844013X,9780448440132,eng,73,1
9203,811856984,9780811856980,en-US,6,1
9216,500203520,9780500203521,eng,53,6
9223,081301395X,9780813013954,eng,15,1
9236,970016409,9780970016409,eng,41,2
9245,970016417,9780970016416,eng,44,3
9253,590428888,9780590428880,eng,13,0
9262,811201082,9780811201087,eng,709,29
9282,440235162,9780440235163,eng,28769,694
9288,9500717638,9789500717632,spa,198,18
9298,60086246,9780060086244,en-US,35784,686
9299,60731303,9780060731304,eng,348,45
9300,99489988,9780099489986,eng,65441,1233
9301,60090383,9780060090388,eng,55525,1223
9303,60090375,9780060090371,en-US,43077,690
9304,60787031,9780060787035,eng,1625,42
9305,1902602323,9781902602325,eng,780,52
9325,1421504618,9781421504612,eng,8989,151
9326,1421501759,9781421501758,eng,12885,208
9327,552995886,9780552995887,eng,1021,112
9330,1400043182,9781400043187,eng,270,49
9337,1932206108,9781932206104,eng,0,0
9338,1932206086,9781932206081,eng,0,0
9345,743285026,9780743285025,eng,2864,349
9346,743285018,9780743285018,eng,3193,236
9347,743211995,9780743211994,eng,1935,229
9349,895260905,9780895260901,eng,33,4
9350,345425928,9780345425928,eng,221,36
9351,812930347,9780812930344,eng,481,33
9352,743270681,9780743270687,eng,238,35
9355,345479726,9780345479723,eng,22547,1371
9361,525948929,9780525948926,eng,941,136
9362,452286360,9780452286368,eng,340,51
9363,451171926,9780451171924,eng,912,128
9365,394415760,9780394415765,en-US,86,12
9370,1842430343,9781842430347,eng,35517,1014
9376,449910288,9780449910283,eng,911,42
9386,874776317,9780874776317,eng,1675,124
9409,039332690X,9780393326901,eng,1858,153
9416,440241413,9780440241416,eng,603675,10079
9417,044024191X,9780440241911,eng,76205,1867
9418,440241812,9780440241812,eng,100796,2382
9419,440241898,9780440241898,eng,94917,2089
9420,385338708,9780385338707,eng,110706,2070
9423,552998877,9780552998871,eng,2214,249
9427,1573223204,9781573223201,en-US,344,59
9431,252019814,9780252019814,en-US,38,5
9435,811839745,9780811839747,eng,49,9
9438,375757996,9780375757990,eng,2174,51
9439,691019622,9780691019628,eng,519,36
9442,486406660,9780486406664,mul,26,0
9444,067942895X,9780679428954,eng,7983,245
9454,198245971,9780198245971,eng,13920,248
9456,691120528,9780691120522,eng,110,16
9457,253209102,9780253209108,eng,117,3
9462,872203492,9780872203495,eng,9284,133
9464,1559343567,9781559343565,eng,9,1
9475,439474299,9780439474290,eng,36853,1725
9479,080755538X,9780807555385,eng,312,9
9484,375752196,9780375752193,eng,1032,162
9486,687002826,9780687002825,eng,1967,131
9487,1595542329,9781595542328,eng,3728,141
9489,451200268,9780451200266,eng,3381,116
9490,393308553,9780393308556,eng,2221,165
9491,768423481,9780768423488,eng,545,44
9493,080282966X,9780802829665,en-US,44,10
9497,671737694,9780671737696,eng,407,18
9498,60957263,9780060957261,en-US,678,78
9501,349113009,9780349113005,eng,72,5
9503,034546401X,9780345464019,eng,26762,2524
9506,840806701X,9788408067016,spa,98,6
9507,156032295,9780156032292,eng,635,21
9512,014101380X,9780141013800,eng,58,5
9515,618134301,9780618134304,en-US,95,20
9516,037571457X,9780375714573,eng,144121,8131
9517,375714669,9780375714665,eng,57309,2308
9525,375424156,9780375424151,en-US,8539,667
9526,375714677,9780375714672,eng,14654,1121
9529,753820250,9780753820254,eng,6726,1018
9531,078683787X,9780786837878,eng,32307,1224
9532,765342405,9780765342409,eng,133114,4243
9534,812565959,9780812565959,eng,65344,1419
9538,345453867,9780345453860,eng,11205,431
9539,812513738,9780812513738,eng,148074,2471
9540,1595550445,9781595550446,en-US,227,32
9542,373802544,9780373802548,eng,14477,868
9544,62507540,9780062507549,eng,2685,182
9550,99283573,9780099283577,eng,467,32
9551,006062213X,9780060622138,eng,6946,182
9553,515135968,9780515135961,eng,15827,616
9556,99448750,9780099448754,eng,1299,128
9557,99448475,9780099448471,eng,78434,3464
9558,60851899,9780060851897,en-US,202,26
9566,184243022X,9781842430224,eng,63155,2286
9567,184243036X,9781842430361,eng,18417,542
9571,553107755,9780553107753,en-US,335,38
9577,3499156717,9783499156717,ger,59,4
9582,3499154293,9783499154294,ger,3,0
9585,3499224429,9783499224423,ger,22,2
9590,385333471,9780385333474,eng,40599,1127
9591,385333811,9780385333818,en-US,7213,139
9592,385334141,9780385334143,eng,64096,2316
9593,385333870,9780385333870,eng,55850,1990
9594,99267543,9780099267546,eng,23527,822
9595,385334230,9780385334235,eng,31084,1062
9599,743410580,9780743410588,en-US,866,52
9602,385334265,9780385334266,eng,5135,192
9603,60263199,9780060263195,eng,420,40
9605,051712436X,9780517124369,eng,914,8
9619,60544880,9780060544881,eng,5161,184
9620,61131547,9780061131547,eng,3405,338
9622,553286374,9780553286373,eng,847,60
9623,380977265,9780380977260,en-US,676,119
9626,60859628,9780060859626,en-US,806,98
9629,1877741094,9781877741098,en-US,909,135
9632,553112449,9780553112443,en-US,198,12
9633,743474767,9780743474764,eng,308,28
9635,60545844,9780060545840,en-US,372,45
9638,60777338,9780060777333,eng,1370,122
9639,375415033,9780375415036,eng,607,48
9644,143036351,9780143036357,eng,6389,541
9646,156421178,9780156421171,eng,30358,1629
9648,141183721,9780141183725,eng,11970,688
9652,156701766,9780156701761,eng,274,22
9653,679420258,9780679420255,eng,1444,180
9657,1585425001,9781585425006,eng,577,26
9659,1585425249,9781585425242,eng,455,31
9660,1585424994,9781585424993,eng,1316,80
9666,1585425494,9781585425495,eng,425,28
9669,1585425540,9781585425549,eng,164,9
9677,393324354,9780393324358,eng,971,71
9681,440201047,9780440201045,eng,282,17
9696,1559362154,9781559362153,eng,90,8
9704,374528667,9780374528669,eng,797,116
9712,140003468X,9781400034680,eng,324487,13070
9713,9500703203,9789500703208,spa,663,46
9714,826414753,9780826414755,eng,1953,84
9717,571224385,9780571224388,eng,248686,8251
9723,385468865,9780385468862,eng,5407,368
9735,765344955,9780765344953,en-US,1795,60
9739,812532570,9780812532579,eng,317,31
9742,307237699,9780307237699,eng,127324,4496
9746,679746323,9780679746324,eng,8035,640
9754,097607267X,9780976072676,eng,62,0
9755,60826584,9780060826581,eng,5247,491
9763,7176155,9780007176151,eng,1832,214
9767,446608475,9780446608473,eng,352,37
9784,486424588,9780486424583,eng,25059,702
9786,99474123,9780099474128,eng,267,32
9787,553381415,9780553381412,eng,1570,64
9789,767902521,9780767902526,eng,4315,532
9791,307279464,9780307279460,eng,308840,14993
9796,736411038,9780736411035,eng,8,0
9799,571219357,9780571219353,eng,16714,1010
9802,1932806490,9781932806496,eng,95,11
9806,330261568,9780330261562,eng,958,57
9811,156260557,9780156260558,en-US,4084,205
9813,156659751,9780156659758,en-US,4701,181
9815,1400042828,9781400042821,eng,3459,423
9816,771065264,9780771065262,eng,53,12
9820,037575931X,9780375759314,eng,31394,4262
9826,525477624,9780525477624,eng,432,90
9827,385333765,9780385333764,eng,28103,643
9828,60837160,9780060837167,eng,34,3
9831,375700986,9780375700989,eng,174,16
9832,1400102952,9781400102952,eng,28,3
9833,1400044618,9781400044610,eng,22847,1280
9838,316159417,9780316159418,en-US,34941,2473
9840,807831093,9780807831090,en-US,258,46
9841,393061221,9780393061222,eng,1718,88
9844,081297235X,9780812972351,eng,55304,4450
9862,8426415164,9788426415165,eng,47,1
9863,851703003,9780851703008,eng,749,54
9864,312254997,9780312254995,eng,9445,476
9865,009959241X,9780099592419,eng,10414,445
9866,8497598369,9788497598361,spa,1,0
9873,140189351,9780140189353,eng,1718,103
9875,812969995,9780812969993,eng,2560,150
9888,140274111,9780140274110,eng,2107,238
9897,041377242X,9780413772428,eng,321,30
9903,99440830,9780099440833,eng,4263,227
9904,60926961,9780060926960,eng,562,33
9908,60976101,9780060976101,eng,597,40
9912,067978148X,9780679781486,eng,35311,974
9913,375703845,9780375703843,eng,18181,669
9915,679781498,9780679781493,eng,55900,2543
9919,375837892,9780375837890,eng,9982,849
9920,375507906,9780375507908,eng,3266,332
9921,1581821360,9781581821369,eng,29,3
9922,812975936,9780812975932,eng,5274,428
9923,141185937,9780141185934,eng,102,17
9924,679745572,9780679745570,eng,4533,188
9929,962088110,9780962088117,eng,406,30
9931,792274571,9780792274575,eng,542,65
9936,385280793,9780385280792,eng,727,23
9950,1594201080,9781594201080,eng,996,98
9957,99468387,9780099468387,eng,18376,1022
9961,99429799,9780099429791,eng,4844,506
9974,879074493,9780879074494,eng,7,1
9975,3518373900,9783518373903,ger,134,5
9981,805232117,9780805232110,ger,2,0
9987,3442730503,9783442730506,ger,1254,63
9997,375726527,9780375726521,eng,1398,105
10000,375726535,9780375726538,eng,2584,153
10002,231082819,9780231082815,eng,83,4
10004,375726543,9780375726545,eng,989,82
10006,965913228,9780965913225,eng,9941,462
10008,1582346437,9781582346434,eng,8517,372
10009,156421356,9780156421355,eng,12491,267
10013,3804417833,9783804417830,ger,4,0
10023,3458340440,9783458340447,ger,37,5
10029,1400076323,9781400076321,eng,190,8
10033,415278481,9780415278485,eng,23344,267
10034,679738959,9780679738954,eng,9477,313
10040,3492207006,9783492207003,ger,1806,27
10050,385481969,9780385481960,eng,8257,793
10055,449911411,9780449911419,eng,4746,298
10057,571145450,9780571145454,eng,140,5
10058,553384155,9780553384154,eng,45954,1297
10061,440229200,9780440229209,eng,255,28
10073,1594481938,9781594481932,eng,65202,3943
10075,185549695X,9781855496958,eng,24,1
10079,038531129X,9780385311298,eng,12235,306
10080,712664564,9780712664561,eng,4947,119
10083,946487502,9780946487509,eng,12,1
10084,886778441,9780886778446,eng,13383,235
10089,439194040,9780439194044,eng,4825,148
10090,886779065,9780886779061,eng,13265,163
10096,1860645887,9781860645884,eng,39,6
10097,618254110,9780618254118,eng,1882,155
10105,312352182,9780312352189,en-US,10702,366
10106,345407865,9780345407863,eng,11134,418
10107,60837330,9780060837334,eng,1523,23
10108,312194390,9780312194390,eng,24108,822
10112,140714758,9780140714753,eng,93,14
10115,330353829,9780330353823,eng,15616,913
10118,316367958,9780316367950,eng,6935,389
10126,312337078,9780312337070,eng,3668,419
10134,3499222507,9783499222504,ger,44,2
10147,1593080344,9781593080341,eng,26794,278
10148,1593080409,9781593080402,eng,874,57
10156,312425945,9780312425944,eng,1459,242
10165,449908976,9780449908976,en-US,501,36
10170,189491712X,9781894917124,eng,63,11
10172,1565117727,9781565117723,eng,81,19
10173,822216310,9780822216315,eng,584,34
10174,312306180,9780312306182,en-US,1307,178
10200,8644101277,9788644101277,srp,0,0
10203,156002167,9780156002165,eng,3479,211
10204,571191630,9780571191635,eng,33,7
10205,156011468,9780156011464,eng,2561,120
10206,691013802,9780691013800,eng,229,22
10208,393323854,9780393323856,eng,482,47
10210,142437204,9780142437209,eng,1409369,27884
10215,517333414,9780517333419,eng,19,4
10217,312263104,9780312263102,eng,1511,104
